Title,Price_INR,Rating
A Light in the Attic,5435.85,Three
Tipping the Velvet,5642.7,One
Soumission,5260.5,One
Sharp Objects,5021.1,Four
Sapiens: A Brief History of Humankind,5694.15,Five
The Requiem Red,2378.25,One
The Dirty Little Secrets of Getting Your Dream Job,3500.7,Four
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",1882.65,Three
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,2373.0,Four
The Black Maria,5475.75,One
"Starving Hearts (Triangular Trade Trilogy, #1)",1468.95,Two
Shakespeare's Sonnets,2169.3,Four
Set Me Free,1833.3,Five
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5490.45,Five
Rip it Up and Start Again,3677.1,Five
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",6011.25,Three
Olio,2507.4,One
Mesaerion: The Best Science Fiction Stories 1800-1849,3946.95,One
Libertarianism for Beginners,5389.65,Two
It's Only the Himalayas,4742.85,Two
In Her Wake,1348.2,One
How Music Works,3918.6,Two
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",3204.6,Three
Chase Me (Paris Nights #2),2653.35,Five
Black Dust,3625.65,Five
Birdsong: A Story in Pictures,5737.2,Three
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,2362.5,Three
Aladdin and His Wonderful Lamp,5578.65,Three
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,4231.5,Five
Wall and Piece,4638.9,Four
The Four Agreements: A Practical Guide to Personal Freedom,1854.3,Five
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3260.25,Three
The Elephant Tree,2501.1,Five
The Bear and the Piano,3873.45,One
Sophie's World,1673.7,Five
Penny Maybe,3495.45,Three
Maude (1883-1993):She Grew Up with the country,1892.1,Two
"In a Dark, Dark Wood",2061.15,One
Behind Closed Doors,5483.1,Four
You can't bury them all: Poems,3531.15,Two
Slow States of Collapse: Poems,6017.55,Three
Reasons to Stay Alive,2773.05,Two
Private Paris (Private #10),4999.05,Five
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,2426.55,Five
Without Borders (Wanderlove #1),4732.35,Two
When We Collided,3335.85,One
"We Love You, Charlie Freeman",5278.35,Five
Untitled Collection: Sabbath Poems 2014,1498.35,Four
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",4638.9,Four
Unicorn Tracks,1971.9,Three
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",2679.6,One
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),1709.4,One
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,3267.6,Three
This One Summer,2046.45,Four
Thirst,1813.35,Five
The Torch Is Passed: A Harding Family Story,2004.45,One
The Secret of Dreadwillow Carse,5893.65,One
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",5923.05,One
The Past Never Ends,5932.5,Four
The Natural History of Us (The Fine Art of Pretending #2),4748.1,Three
The Nameless City (The Nameless City #1),4006.8,Four
The Murder That Never Was (Forensic Instincts #5),5681.55,Three
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,4510.8,Four
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",2508.45,Four
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,1760.85,Three
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",2161.95,Five
The Gutsy Girl: Escapades for Your Life of Epic Adventure,3898.65,One
The Electric Pencil: Drawings from Inside State Hospital No. 3,5886.3,One
The Death of Humanity: and the Case for Life,6101.55,Four
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",5150.25,Three
The Art Forger,4279.8,Three
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,2071.65,One
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,3385.2,Five
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,4392.15,Four
Soul Reader,4155.9,Two
Security,4121.25,Two
"Saga, Volume 6 (Saga (Collected Editions) #6)",2627.1,Three
"Saga, Volume 5 (Saga (Collected Editions) #5)",5359.2,Two
Reskilling America: Learning to Labor in the Twenty-First Century,2082.15,Two
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",5292.0,Three
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",1429.05,Five
Princess Between Worlds (Wide-Awake Princess #5),1400.7,Five
"Pop Gun War, Volume 1: Gift",1991.85,One
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",3809.4,Two
Patience,1066.8,Three
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",1621.2,Four
orange: The Complete Collection 1 (orange: The Complete Collection #1),5083.05,One
Online Marketing for Busy Authors: A Step-By-Step Guide,4866.75,One
On a Midnight Clear,1477.35,Three
Obsidian (Lux #1),1560.3,Two
My Paris Kitchen: Recipes and Stories,3503.85,Two
Masks and Shadows,5922.0,Two
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",1472.1,Four
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",4925.55,Two
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",4789.05,Three
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),2091.6,Two
"Layered: Baking, Building, and Styling Spectacular Cakes",4211.55,One
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),5659.5,Two
Join,3745.35,Five
In the Country We Love: My Family Divided,2310.0,Four
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,6022.8,Five
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",3062.85,Two
I am a Hero Omnibus Volume 1,5736.15,Three
How to Be Miserable: 40 Strategies You Already Use,4833.15,One
Her Backup Boyfriend (The Sorensen Family #1),3566.85,One
"Giant Days, Vol. 2 (Giant Days #5-8)",2321.55,Two
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3117.45,Three
First and First (Five Boroughs #3),1676.85,Four
Fifty Shades Darker (Fifty Shades #2),2305.8,One
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,5706.75,Two
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",3986.85,Two
Danganronpa Volume 1,5458.95,Four
Crown of Midnight (Throne of Glass #2),4545.45,Three
"Codename Baboushka, Volume 1: The Conclave of Death",3855.6,Four
Camp Midnight,1793.4,Four
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,3059.7,Five
Burning,3025.05,Three
Bossypants,5193.3,Two
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",3981.6,Two
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",2949.45,Two
Algorithms to Live By: The Computer Science of Human Decisions,3235.05,One
A World of Flavor: Your Gluten Free Passport,4509.75,One
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",5959.8,Five
A Murder in Time,1747.2,One
A Flight of Arrows (The Pathfinders #2),5830.65,Five
A Fierce and Subtle Poison,2953.65,Four
A Court of Thorns and Roses (A Court of Thorns and Roses #1),5498.85,One
(Un)Qualified: How God Uses Broken People to Do Big Things,5670.0,Five
You Are What You Love: The Spiritual Power of Habit,2296.35,Four
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",4546.5,Four
Tuesday Nights in 1980,2209.2,Two
Tracing Numbers on a Train,4368.0,Three
Throne of Glass (Throne of Glass #1),3682.35,Three
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,6262.2,One
Thirteen Reasons Why,5535.6,One
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,6098.4,Four
The Wedding Dress,2532.6,One
The Vacationers,4425.75,Four
The Third Wave: An Entrepreneurâs Vision of the Future,1324.05,Five
The Stranger,1831.2,Four
The Shadow Hero (The Shadow Hero),3479.7,One
The Secret (The Secret #1),2873.85,Four
The Regional Office Is Under Attack!,5392.8,Five
The Psychopath Test: A Journey Through the Madness Industry,3780.0,Two
The Project,1118.25,One
The Power of Now: A Guide to Spiritual Enlightenment,4571.7,Two
The Omnivore's Dilemma: A Natural History of Four Meals,4012.05,Two
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,3920.7,Five
The Murder of Roger Ackroyd (Hercule Poirot #4),4630.5,Four
The Mistake (Off-Campus #2),4545.45,Three
The Matchmaker's Playbook (Wingmen Inc. #1),5864.25,One
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,3948.0,Two
The Long Shadow of Small Ghosts: Murder and Memory in an American City,1151.85,One
The Kite Runner,4391.1,Four
The House by the Lake,3879.75,One
The Glittering Court (The Glittering Court #1),4649.4,One
The Girl on the Train,5777.1,Two
The Genius of Birds,1810.2,One
The Emerald Mystery,2430.75,Two
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,4331.25,One
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,3360.0,Three
The Artist's Way: A Spiritual Path to Higher Creativity,4041.45,Five
The Art of War,3500.7,Five
The Argonauts,1147.65,Two
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,2892.75,Three
Suddenly in Love (Lake Haven #1),5878.95,Two
Something More Than This,1705.2,Four
Soft Apocalypse,2742.6,Two
So You've Been Publicly Shamed,1284.15,Two
Shoe Dog: A Memoir by the Creator of NIKE,2518.95,Two
"Shobu Samurai, Project Aryoku (#3)",3051.3,Three
Secrets and Lace (Fatal Hearts #1),2128.35,One
Scarlett Epstein Hates It Here,4572.75,Five
Romero and Juliet: A Tragic Tale of Love and Zombies,3878.7,One
Redeeming Love,2149.35,Five
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,4311.3,One
Poems That Make Grown Women Cry,1489.95,Four
"Nightingale, Sing",4019.4,One
Night Sky with Exit Wounds,4310.25,One
Mrs. Houdini,3176.25,Five
Modern Romance,2967.3,Five
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),1129.8,One
Louisa: The Extraordinary Life of Mrs. Adams,1769.25,Two
Little Red,1414.35,Three
Library of Souls (Miss Peregrineâs Peculiar Children #3),5098.8,Five
Large Print Heart of the Pride,2010.75,Two
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,6022.8,Four
Hollow City (Miss Peregrineâs Peculiar Children #2),4512.9,One
Grumbles,2326.8,Two
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,5190.15,Four
Frostbite (Vampire Academy #2),3148.95,Five
Follow You Home,2242.8,One
First Steps for New Christians (Print Edition),3045.0,One
Finders Keepers (Bill Hodges Trilogy #2),5620.65,Five
"Fables, Vol. 1: Legends in Exile (Fables #1)",4370.1,Four
Eureka Trivia 6.0,5731.95,Four
Drive: The Surprising Truth About What Motivates Us,3669.75,Four
Done Rubbed Out (Reightman & Bailey #1),3960.6,Five
Doing It Over (Most Likely To #1),3739.05,Three
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",4426.8,Three
Dark Notes,2014.95,Five
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",2040.15,Three
Close to You,5193.3,Four
Chasing Heaven: What Dying Taught Me About Living,3969.0,Two
Big Magic: Creative Living Beyond Fear,3234.0,Three
Becoming Wise: An Inquiry into the Mystery and Art of Living,2880.15,Two
Beauty Restored (Riley Family Legacy Novellas #3),1166.55,Two
Batman: The Long Halloween (Batman),3832.5,Two
Batman: The Dark Knight Returns (Batman),1614.9,Five
Ayumi's Violin,1625.4,Two
Anonymous,4916.1,Four
Amy Meets the Saints and Sages,1938.3,Three
Amid the Chaos,3840.9,One
Amatus,5306.7,Five
Agnostic: A Spirited Manifesto,1313.55,Five
Zealot: The Life and Times of Jesus of Nazareth,2593.5,Three
You (You #1),4579.05,Five
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",3920.7,Four
Wild Swans,1507.8,Two
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,5528.25,Four
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,4011.0,Four
What's It Like in Space?: Stories from Astronauts Who've Been There,2058.0,Two
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",5659.5,One
Walt Disney's Alice in Wonderland,1360.8,Five
V for Vendetta (V for Vendetta Complete),3895.5,Four
Until Friday Night (The Field Party #1),4862.55,Two
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4824.75,Two
Twenty Yawns,2318.4,Two
Through the Woods,2664.9,Two
This Is Where It Ends,2847.6,Two
The Year of Magical Thinking,4519.2,Two
The Wright Brothers,5964.0,Four
The White Queen (The Cousins' War #1),2720.55,Five
The Wedding Pact (The O'Malleys #2),3424.05,Three
The Time Keeper,2927.4,Five
The Testament of Mary,5530.35,Four
The Star-Touched Queen,4832.1,Five
The Songs of the Gods,4670.4,Five
The Song of Achilles,3927.0,Five
The Rosie Project (Don Tillman #1),5674.2,One
The Power of Habit: Why We Do What We Do in Life and Business,1772.4,Three
The Marriage of Opposites,2948.4,Four
The Lucifer Effect: Understanding How Good People Turn Evil,1092.0,One
The Long Haul (Diary of a Wimpy Kid #9),4627.35,One
The Loney,2457.0,One
The Literature Book (Big Ideas Simply Explained),1830.15,Three
The Last Mile (Amos Decker #2),5692.05,Two
The Immortal Life of Henrietta Lacks,4270.35,Two
The Hidden Oracle (The Trials of Apollo #1),5487.3,Two
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,3020.85,Three
The Guilty (Will Robie #4),1451.1,Two
The First Hostage (J.B. Collins #2),2714.25,Three
The Dovekeepers,5121.9,One
The Darkest Lie,3711.75,Five
The Bane Chronicles (The Bane Chronicles #1-11),4696.65,Four
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,1655.85,One
The 14th Colony (Cotton Malone #11),4120.2,One
That Darkness (Gardiner and Renner #1),1461.6,One
Tastes Like Fear (DI Marnie Rome #3),1122.45,One
Take Me with You,4747.05,Three
Swell: A Year of Waves,4785.9,One
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),1248.45,Five
Still Life with Bread Crumbs,2773.05,Three
Steve Jobs,4147.5,Five
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,4697.7,Four
Someone Like You (The Harrisons #2),5542.95,Five
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",3720.15,Four
Shtum,5863.2,Four
See America: A Celebration of Our National Parks & Treasured Sites,5131.35,Three
salt.,4911.9,Four
Robin War,5021.1,Three
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",2675.4,Two
Rain Fish,2474.85,Three
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",5343.45,Five
Pet Sematary,1108.8,Three
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",5475.75,Three
Once Was a Time,1919.4,Two
Old School (Diary of a Wimpy Kid #10),1242.15,Five
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,2304.75,Two
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",4030.95,Two
My Name Is Lucy Barton,4363.8,One
My Mrs. Brown,2570.4,Three
My Kind of Crazy,4237.8,One
Mr. Mercedes (Bill Hodges Trilogy #1),3034.5,One
More Than Music (Chasing the Dream #1),3949.05,Two
Made to Stick: Why Some Ideas Survive and Others Die,4079.25,Five
Luis Paints the World,5664.75,Three
Luckiest Girl Alive,5232.15,Three
Lowriders to the Center of the Earth (Lowriders in Space #2),5408.55,Two
Love Is a Mix Tape (Music #1),1893.15,One
Looking for Lovely: Collecting the Moments that Matter,3059.7,Five
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",4925.55,Four
Let It Out: A Journey Through Journaling,2812.95,Five
Lady Midnight (The Dark Artifices #1),1709.4,Five
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",2052.75,One
Island of Dragons (Unwanteds #7),3113.25,One
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,2727.9,Four
I Am Pilgrim (Pilgrim #1),1113.0,Four
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",1548.75,Five
"Hush, Hush (Hush, Hush #1)",4937.1,Three
Hold Your Breath (Search and Rescue #1),3026.1,One
Hamilton: The Revolution,6172.95,Three
Greek Mythic History,1074.15,Five
God: The Most Unpleasant Character in All Fiction,3153.15,Five
Glory over Everything: Beyond The Kitchen House,4813.2,Three
Feathers: Displays of Brilliant Plumage,5150.25,Three
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",1581.3,Four
Every Last Word,4879.35,Three
Eligible (The Austen Project #4),2844.45,Three
El Deafo,6050.1,Five
Eight Hundred Grapes,1510.95,Four
